Initial Random Variable for availability,Second Random Variable for time to pickup,Total Seconds to pIck up,,,,,,
0.742614746,16.28617529,22.28617529,,Part 2a,,,,
0.608154297,5.291255645,75.29125565,,,Value for u = 51 is 0.74261474609375,,,
0.528991699,4.557199989,10.55719999,,,Value for u = 52 is 0.3565673828125,,,
0.951965332,11.24264557,27.24264557,,,Value for u = 53 is 0.31597900390625,,,
0.89654541,9.034554737,89.03455474,,,,,,
0.768798828,1.32928031,7.32928031,,,Part 2c,,,
0.507324219,36.42998735,128,,,,,,
0.802185059,4.685301677,10.68530168,,,,,,
0.961486816,1.167549509,17.16754951,,,,,,
0.572937012,6.690147467,22.69014747,,,,,,
0.371032715,27.2234701,106,,,,,,
0.709594727,17.57360488,23.57360488,,,,,,
0.840698242,3.392761929,39.39276193,,,,,,
0.641113281,5.864791372,21.86479137,,,,,,
0.921020508,7.443651696,45.4436517,,,,,,
0.544494629,8.49484759,14.49484759,,,,,,
0.399230957,8.49484759,84,,,,,,
0.590820313,19.4450799,25.4450799,,,,,,
0.130126953,19.4450799,40,,,,,,
0.846984863,0.553079467,70.55307947,,,,,,
0.065002441,39.08105598,106,,,,,,
0.973327637,1.2819172,17.2819172,,,,,,
0.748413086,10.20988516,16.20988516,"Please note that this plot only shows the data points that gives you if they are actually available and pick the call in the given 4 tries, or if they are not unavaialble in the 4 tries. This plot does NOT show the total possible random variable that were used in all possible call trials. ",,,,,
0.755859375,7.510572714,23.51057271,,,,,,
0.836547852,14.72477431,52.72477431,,,,,,
0.842041016,1.442729124,17.44272912,,,,,,
0.846862793,5.564112414,11.56411241,,,,,,
0.971191406,14.83773404,84.83773404,,,,,,
0.605895996,0.130344014,6.130344014,,,,,,
0.523010254,1.340740847,39.34074085,,,,,,
0.705810547,0.108151923,6.108151923,,,,,,
0.671264648,22.04346033,60.04346033,,,,,,
0.596496582,2.467358084,8.467358084,,,,,,
0.608398438,12.29698184,18.29698184,,,,,,
0.830993652,4.267341045,10.26734104,,,,,,
0.97857666,9.436173248,47.43617325,,,,,,
0.922058105,3.975134738,41.97513474,,,,,,
0.981750488,0.671003278,38.67100328,,,,,,
0.673950195,0.157770903,48.1577709,,,,,,
0.918518066,6.114536475,12.11453647,,,,,,
0.948974609,10.72321063,16.72321063,,,,,,
0.781616211,1.090301204,17.0903012,,,,,,
0.859313965,2.371483018,28.37148302,,,,,,
0.713500977,0.775243529,6.775243529,,,,,,
0.842834473,1.672896013,7.672896013,,,,,,
